mean,std,rms_contrast,michelson,lap_var,video,frame_idx,time_sec,t_idx,k,u,roi_x0,roi_y0,roi_x1,roi_y1,video_W,video_H,scale_x,scale_y
0.21630801260471344,0.15796972811222076,0.730299903859315,0.9712230035440843,195.9114990234375,C4_linear_ROI_suppressed_softknee,0,0.0,0.0,0,0.0,1665,125,1986,720,3440,720,1.0,1.0140845070422535
0.21620941162109375,0.15779747068881989,0.7298362370413228,0.9714285534923611,198.59719848632812,C4_linear_ROI_suppressed_softknee,1,0.016666666666666666,0.016666666666666666,0,0.016666666666666666,1664,125,1985,720,3440,720,1.0,1.0140845070422535
0.2164076268672943,0.15758968889713287,0.7282076140121163,0.9574467924852192,198.87437438964844,C4_linear_ROI_suppressed_softknee,2,0.03333333333333333,0.03333333333333333,0,0.03333333333333333,1663,125,1984,720,3440,720,1.0,1.0140845070422535
0.21623125672340393,0.15747669339179993,0.7282790124577083,0.9574467924852192,198.08218383789062,C4_linear_ROI_suppressed_softknee,3,0.05,0.05,0,0.05,1662,125,1983,720,3440,720,1.0,1.0140845070422535
0.21627500653266907,0.15713416039943695,0.7265479060809658,0.9574467924852192,206.04421997070312,C4_linear_ROI_suppressed_softknee,4,0.06666666666666667,0.06666666666666667,0,0.06666666666666667,1661,125,1982,720,3440,720,1.0,1.0140845070422535
0.21663081645965576,0.1567223221063614,0.7234534653614894,0.9574467924852192,206.76388549804688,C4_linear_ROI_suppressed_softknee,5,0.08333333333333333,0.08333333333333333,0,0.08333333333333333,1660,125,1981,720,3440,720,1.0,1.0140845070422535
0.2165234535932541,0.1565738320350647,0.723126396727116,0.9574467924852192,208.15000915527344,C4_linear_ROI_suppressed_softknee,6,0.1,0.1,0,0.1,1659,125,1980,720,3440,720,1.0,1.0140845070422535
0.21665093302726746,0.15634986758232117,0.7216671453059087,0.9574467924852192,211.36570739746094,C4_linear_ROI_suppressed_softknee,7,0.11666666666666667,0.11666666666666667,0,0.11666666666666667,1658,125,1979,720,3440,720,1.0,1.0140845070422535
0.21695803105831146,0.15589694678783417,0.718558049415343,0.9574467924852192,217.30819702148438,C4_linear_ROI_suppressed_softknee,8,0.13333333333333333,0.13333333333333333,0,0.13333333333333333,1657,125,1978,720,3440,720,1.0,1.0140845070422535
0.2169480323791504,0.15571558475494385,0.7177551963469976,0.9574467924852192,220.4033966064453,C4_linear_ROI_suppressed_softknee,9,0.15,0.15,0,0.15,1656,125,1977,720,3440,720,1.0,1.0140845070422535
0.21725565195083618,0.15533243119716644,0.7149752959364408,0.9574467924852192,232.0925750732422,C4_linear_ROI_suppressed_softknee,10,0.16666666666666666,0.16666666666666666,0,0.16666666666666666,1655,125,1976,720,3440,720,1.0,1.0140845070422535
0.21718373894691467,0.15529508888721466,0.715040096877473,0.9714285534923611,233.11424255371094,C4_linear_ROI_suppressed_softknee,11,0.18333333333333332,0.18333333333333332,0,0.18333333333333332,1654,125,1975,720,3440,720,1.0,1.0140845070422535
0.2173226922750473,0.1549835205078125,0.7131492425106271,0.9716311878389067,239.44656372070312,C4_linear_ROI_suppressed_softknee,12,0.2,0.2,0,0.2,1653,125,1974,720,3440,720,1.0,1.0140845070422535
0.21766877174377441,0.15466010570526123,0.710529569129105,0.9857142676269216,243.7984619140625,C4_linear_ROI_suppressed_softknee,13,0.21666666666666667,0.21666666666666667,0,0.21666666666666667,1652,125,1973,720,3440,720,1.0,1.0140845070422535
0.21758657693862915,0.15461614727973938,0.7105959492041174,0.9857142676269216,246.2128143310547,C4_linear_ROI_suppressed_softknee,14,0.23333333333333334,0.23333333333333334,0,0.23333333333333334,1651,125,1972,720,3440,720,1.0,1.0140845070422535
0.2180461883544922,0.1542123407125473,0.7072461793708233,0.9857142676269216,247.98876953125,C4_linear_ROI_suppressed_softknee,15,0.25,0.25,0,0.25,1650,125,1971,720,3440,720,1.0,1.0140845070422535
0.2178279608488083,0.15425731241703033,0.7081611779053776,0.9857142676269216,249.17222595214844,C4_linear_ROI_suppressed_softknee,16,0.26666666666666666,0.26666666666666666,0,0.26666666666666666,1649,125,1970,720,3440,720,1.0,1.0140845070422535
0.2180379331111908,0.153999462723732,0.7062966221672634,0.9860139682686293,248.2609100341797,C4_linear_ROI_suppressed_softknee,17,0.2833333333333333,0.2833333333333333,0,0.2833333333333333,1648,125,1969,720,3440,720,1.0,1.0140845070422535
0.21844330430030823,0.15368269383907318,0.7035358089641306,0.972222204685107,249.77210998535156,C4_linear_ROI_suppressed_softknee,18,0.3,0.3,0,0.3,1647,125,1968,720,3440,720,1.0,1.0140845070422535
