mean,std,rms_contrast,lap_var,video,frame_idx,time_sec,t_idx,k,u,roi_x0,roi_y0,roi_x1,roi_y1,video_W,video_H,scale_x,scale_y,fps_used,time_window_sec
0.22310563921928406,0.15185761451721191,0.6806533812505818,380.7120666503906,gauss,0,0.0,0.0,0,0.0,1665,123,1986,710,3440,710,1.0,1.0,60.0,10.0
0.22339944541454315,0.15175436437129974,0.6792960353896218,381.3762512207031,gauss,1,0.016666666666666666,0.016666666666666666,0,0.016666666666666666,1664,123,1985,710,3440,710,1.0,1.0,60.0,10.0
0.2235492765903473,0.15172915160655975,0.6787279616087637,378.8465881347656,gauss,2,0.03333333333333333,0.03333333333333333,0,0.03333333333333333,1663,123,1984,710,3440,710,1.0,1.0,60.0,10.0
0.22371916472911835,0.15164245665073395,0.6778250314678852,375.8313293457031,gauss,3,0.05,0.05,0,0.05,1662,123,1983,710,3440,710,1.0,1.0,60.0,10.0
0.22387728095054626,0.15157535672187805,0.6770465913640189,374.7969055175781,gauss,4,0.06666666666666667,0.06666666666666667,0,0.06666666666666667,1661,123,1982,710,3440,710,1.0,1.0,60.0,10.0
0.22425830364227295,0.1514333039522171,0.6752628319223736,368.3937072753906,gauss,5,0.08333333333333333,0.08333333333333333,0,0.08333333333333333,1660,123,1981,710,3440,710,1.0,1.0,60.0,10.0
0.22439996898174286,0.15131042897701263,0.6742889623413165,364.3057861328125,gauss,6,0.1,0.1,0,0.1,1659,123,1980,710,3440,710,1.0,1.0,60.0,10.0
0.22461406886577606,0.1511877179145813,0.673099917324984,360.29022216796875,gauss,7,0.11666666666666667,0.11666666666666667,0,0.11666666666666667,1658,123,1979,710,3440,710,1.0,1.0,60.0,10.0
0.2247803807258606,0.15114250779151917,0.6724007699401623,357.9684753417969,gauss,8,0.13333333333333333,0.13333333333333333,0,0.13333333333333333,1657,123,1978,710,3440,710,1.0,1.0,60.0,10.0
0.22508196532726288,0.15099909901618958,0.6708626881234765,351.8244934082031,gauss,9,0.15,0.15,0,0.15,1656,123,1977,710,3440,710,1.0,1.0,60.0,10.0
0.22548292577266693,0.15080192685127258,0.6687952963470011,346.2118835449219,gauss,10,0.16666666666666666,0.16666666666666666,0,0.16666666666666666,1655,123,1976,710,3440,710,1.0,1.0,60.0,10.0
0.22570209205150604,0.15068209171295166,0.667614924023018,344.7580871582031,gauss,11,0.18333333333333332,0.18333333333333332,0,0.18333333333333332,1654,123,1975,710,3440,710,1.0,1.0,60.0,10.0
0.22593460977077484,0.15056955814361572,0.6664297764387689,338.4928894042969,gauss,12,0.2,0.2,0,0.2,1653,123,1974,710,3440,710,1.0,1.0,60.0,10.0
0.22624488174915314,0.15025462210178375,0.6641238214932921,333.3634338378906,gauss,13,0.21666666666666667,0.21666666666666667,0,0.21666666666666667,1652,123,1973,710,3440,710,1.0,1.0,60.0,10.0
0.22639834880828857,0.15022820234298706,0.6635569406675713,330.61456298828125,gauss,14,0.23333333333333334,0.23333333333333334,0,0.23333333333333334,1651,123,1972,710,3440,710,1.0,1.0,60.0,10.0
0.22660987079143524,0.15016311407089233,0.6626503378689733,326.9187927246094,gauss,15,0.25,0.25,0,0.25,1650,123,1971,710,3440,710,1.0,1.0,60.0,10.0
0.2269418090581894,0.14998547732830048,0.6608983657165592,323.86126708984375,gauss,16,0.26666666666666666,0.26666666666666666,0,0.26666666666666666,1649,123,1970,710,3440,710,1.0,1.0,60.0,10.0
0.22712843120098114,0.14988864958286285,0.6599290198545834,322.46099853515625,gauss,17,0.2833333333333333,0.2833333333333333,0,0.2833333333333333,1648,123,1969,710,3440,710,1.0,1.0,60.0,10.0
0.22729620337486267,0.1498432159423828,0.6592420248341647,317.9955749511719,gauss,18,0.3,0.3,0,0.3,1647,123,1968,710,3440,710,1.0,1.0,60.0,10.0
0.22763590514659882,0.14970208704471588,0.6576382595352183,313.79705810546875,gauss,19,0.31666666666666665,0.31666666666666665,0,0.31666666666666665,1646,123,1967,710,3440,710,1.0,1.0,60.0,10.0
0.2277061641216278,0.14972300827503204,0.6575272227579497,312.7402648925781,gauss,20,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,1645,123,1966,710,3440,710,1.0,1.0,60.0,10.0
0.22785872220993042,0.1497073918581009,0.6570184535222146,308.1262512207031,gauss,21,0.35,0.35,0,0.35,1644,123,1965,710,3440,710,1.0,1.0,60.0,10.0
0.22815090417861938,0.149640753865242,0.6558849628281053,304.19921875,gauss,22,0.36666666666666664,0.36666666666666664,0,0.36666666666666664,1643,123,1964,710,3440,710,1.0,1.0,60.0,10.0
0.22830206155776978,0.1495811641216278,0.6551896927653486,303.9262390136719,gauss,23,0.38333333333333336,0.38333333333333336,0,0.38333333333333336,1642,123,1963,710,3440,710,1.0,1.0,60.0,10.0
0.2284514158964157,0.14956168830394745,0.6546760989435085,300.263916015625,gauss,24,0.4,0.4,0,0.4,1641,123,1962,710,3440,710,1.0,1.0,60.0,10.0
0.22867567837238312,0.1495165079832077,0.6538364836568461,297.7310791015625,gauss,25,0.4166666666666667,0.4166666666666667,0,0.4166666666666667,1640,123,1961,710,3440,710,1.0,1.0,60.0,10.0
0.228816419839859,0.14949020743370056,0.6533193771894954,297.6856994628906,gauss,26,0.43333333333333335,0.43333333333333335,0,0.43333333333333335,1639,123,1960,710,3440,710,1.0,1.0,60.0,10.0
0.22898180782794952,0.14943048357963562,0.6525866769557811,294.98382568359375,gauss,27,0.45,0.45,0,0.45,1638,123,1959,710,3440,710,1.0,1.0,60.0,10.0
0.22929078340530396,0.14927157759666443,0.6510142661192933,291.8147888183594,gauss,28,0.4666666666666667,0.4666666666666667,0,0.4666666666666667,1637,123,1958,710,3440,710,1.0,1.0,60.0,10.0
0.22949375212192535,0.14933450520038605,0.650712698330544,290.6472473144531,gauss,29,0.48333333333333334,0.48333333333333334,0,0.48333333333333334,1636,123,1957,710,3440,710,1.0,1.0,60.0,10.0
0.2299201786518097,0.14938633143901825,0.6497312494173723,287.4691467285156,gauss,30,0.5,0.5,0,0.5,1634,123,1956,710,3440,710,1.0,1.0,60.0,10.0
0.23002706468105316,0.1494140774011612,0.6495499610571195,285.9538879394531,gauss,31,0.5166666666666667,0.5166666666666667,0,0.5166666666666667,1633,123,1954,710,3440,710,1.0,1.0,60.0,10.0
0.23012219369411469,0.14941325783729553,0.6492778855703125,287.1309814453125,gauss,32,0.5333333333333333,0.5333333333333333,0,0.5333333333333333,1632,123,1953,710,3440,710,1.0,1.0,60.0,10.0
0.2303636074066162,0.14936518669128418,0.6483887880074343,285.7471618652344,gauss,33,0.55,0.55,0,0.55,1631,123,1952,710,3440,710,1.0,1.0,60.0,10.0
