mean,std,rms_contrast,michelson,lap_var,video,frame_idx,time_sec,roi_x0,roi_y0,roi_x1,roi_y1,video_W,video_H,scale_x,scale_y
0.29070329666137695,0.20995424687862396,0.7222286161443193,0.9075144351416283,679.7025146484375,tri_raw,0,0.0,1930,76,2309,710,3440,710,1.0,1.0
0.2907610237598419,0.20981325209140778,0.7216003099806899,0.9075144351416283,676.3106079101562,tri_raw,1,0.016666666666666666,1930,76,2309,710,3440,710,1.0,1.0
0.29090890288352966,0.20953936874866486,0.7202920208655055,0.9075144351416283,673.4060668945312,tri_raw,2,0.03333333333333333,1930,76,2309,710,3440,710,1.0,1.0
0.2912862300872803,0.20933517813682556,0.7186579705038622,0.9080459613193254,667.9591674804688,tri_raw,3,0.05,1930,76,2309,710,3440,710,1.0,1.0
0.2913605570793152,0.20914871990680695,0.7178346816227598,0.9080459613193254,665.4598388671875,tri_raw,4,0.06666666666666667,1930,76,2309,710,3440,710,1.0,1.0
0.2915254831314087,0.20903438329696655,0.7170363766531449,0.9080459613193254,659.4920654296875,tri_raw,5,0.08333333333333333,1930,76,2309,710,3440,710,1.0,1.0
0.29190200567245483,0.20882581174373627,0.7153969501124003,0.9080459613193254,652.9506225585938,tri_raw,6,0.1,1930,76,2309,710,3440,710,1.0,1.0
0.2919611930847168,0.2086441069841385,0.7146295630368305,0.9075144351416283,648.7919311523438,tri_raw,7,0.11666666666666667,1930,76,2309,710,3440,710,1.0,1.0
0.2921431362628937,0.20845019817352295,0.7135207546027551,0.9075144351416283,641.6910400390625,tri_raw,8,0.13333333333333333,1930,76,2309,710,3440,710,1.0,1.0
0.29218390583992004,0.20837630331516266,0.7131682889393768,0.9080459613193254,641.6778564453125,tri_raw,9,0.15,1930,76,2309,710,3440,710,1.0,1.0
0.2923451066017151,0.20826606452465057,0.7123979594582657,0.9080459613193254,636.6860961914062,tri_raw,10,0.16666666666666666,1930,76,2309,710,3440,710,1.0,1.0
